Filename,Content
receipt1.jpg,"GREEN FIELD 5305 E PACIFIC COAST HWY Long Beach, CA 90804 (562) 597-0906 Server: Francis Station: 3 Order #: 69923 Dine In Table: B11 Guests: e | Coffee 3.00 2 Lunch 45.90 1 Coke 3.00 SUB TOTAL: 51.90 Tax 1: U.68 TOTAL: $56.58 5/26/2016 12:53:10 PM NAH THANK YOU!"
receipt10.jpg,Dona Mercedes Restaurant 1030 1/2 San Fernando Rd San Fernando CA 91341 Vero CENTERL 1 CHicharon 3 Pupusa Queso 1 Platanos Orden 1 Diet coke 2 Quesadilla salvadorena SUBTOTAL: $22.25 TAX: $2.22 TOTAL: $24.47 TIP SUGGESTIONS 18%: $4.40 20%: $4.89 25%: $6.12 Thank You!
receipt100.jpg,. san Grill Nick yineola BIVd mineola NY 11501 516-747 2545 nal www nickstuscangr 111 .COll $20 Minimum Credit/Debit paymen 907 Victor V Tb] 12/1 Mar18’18 10:54AM Bar FUSSILLI SP 1 Open Food 22.00 1 Ossobuco 28.00 1 Diet Coke 2.50 1G 14 Hands Cab 10.00 Subtotal] 62.50 Tax 5.39 Total 67.89 Minimum Credit/Debit Payment $20 Thank you for joining u dd S toda om LOU
receipt101.jpg,"Mexican Restaurant & Bar 25 West San Fernando St. San Jose, CA 95113 (408) 283-9595 5.95 9.95 15.95 i Subtotal 50.05 : Tax 5.46 \ } Total 55.51 | Gratuity 18.00% 9.01 Total 64.52 Balance Due 64-52 1! Become a friend of us on FACEBOOK to receive nes of events & special offers !! 11 THANK YOU FOR COMING !!"
receipt102.jpg,"Stony vy 16725 Stony Plain Rd Edmonton AB TSP 449 ‘Store: 3659 Tele: 780-414-6362 Welcome to all day breakfast @ He Donald’s. ei ks# 1 03/10/2018 07:39:12 PH ory 17eH 1 Delivery 110 McNuggets EVM. "" | Barbeque Sauce | Barbeque Sauce © 1 L Coke 1M French Fries 1 HM GrChs S-Fry Yoo 1 Snoopy 1 HM Apple Juice 1 6 Cookies 6 Choc Chip Cookie 1 Baked Apple Pie 1L French Fries 1L Iced Tea Subtotal GST Take-Out Total CREDIT SALES - McDelivery j Change GST #: 120907092 SALE wO4kfwo532 4 A"
receipt103.jpg,"KAZ RAMEN 22413 BARTON ROAD GRAND TERRACE, CA 92313 9094229532 ORDER: T461 DINE IN Cashier: Mickey 04-Nov-2018 9:07:13P Guest 1 1 Tonkotsu $9.50 Tofu $0.00 Egg $1.30 Corn $0.50 Bamboo shoots $1.00 Naruto $0.75 Spicy $0.00 Subtotal $13.05 Tax $1.01 Total $14.06 Order 4AW465DFNMVRT"
receipt104.jpg,"ma OM INDIAN FOOD 204 Spring St New York, NY 10012 (646) 756-4000 (646) 657-0514 (Fax) TABLE T1 ORDER #2 2 Guests Invoice #2143, [15/16 12:03:14 PM Manoj 1 Vegetable Biryani $12.95 1 Malai Kofta $12.95 1 Onion Naan $3.95 SUBTOTAL: $29.85 LUNCH DISCOUNT 50% OFF : ~$14.93 TAX: $1.32 TOTAL: $16.24 You have saved : $14.93"
receipt105.jpg,crisfield seafood Restaurant 8012 Georgia Ave. Silver Sting. ™D20910 (301) 589-1306 DENIS ORDER# 1a Carryout + 8 12/28/2017 8:38:16 PM GUESTS 1 TAKE OUT Dinner Platters 1 Crisfield Special Platter 27.00 HK COOK MEDIUM 0K Extras 1 Pint Bisque 11.50 SUBTOTAL: 38.50 Carry Out 1.93 TAX: Register TOTAL : $42.7 Thanks you!
receipt106.jpg,"Don san Mexican Restaurant ay 156 (516) 442-4944 Server: Regina Station: 4 Order #: 28731 Dine In Table: 1 Guests: 2 2 Red Sangria Glass 14,00 1 #4-COMBO FAJITAS 22.95 Flour Tortilla Chicken a Shrimp be Steak % 1 #34-BURRITO SUPREME 14,95 w/ Beef Bar Subtotals Fi >» Ticket #: 23.« ' a 8314359 P"
receipt107.jpg,"THE PLACE The Place 2 Be \ 615 Franklin Ave Hartford, CT 06114 8609047891 https://www.Place2BeCT.com --- JOIN US FOR BOTTOMLESS BRUNCH --- ee EVERY SATURDAY & SUNDAY ------- eee» S15 BOTTOMLESS MIMOSAS *+*+*** ORDER: Table 17 Dine-In Cashier: Mariah 17-Feb-2018 9:41:47A Guest 1 1 American Coffee $1.75 1 Nutella Coconut Pancak 3 Guest 2 = 36-00 1 American Coffee 1 Cheddar Grits eraiae Subtotal Tax $21.50 $1.37 Total $22.87"
receipt108.jpg,Lan Sheng 209 Pa : Wallington > Tel : 973.773.7100 Fax [ B2 | # 1011 ee Oe S 07057 ot £973.17) Dine In Server: Mary Spicy Chicken w. * c Soy V. 1 Hf- Peking Duck $15.99 1 Stir Beef Fillet w. Tofu $12.95 1 Pork w. Spicy Capsicum oi 50 1 White Rice (S) o) 95 1 Pork w. Spicy Tofu & Cayen $12. ne Chili
receipt109.jpg,"MIKUNI JAPANESE 4323 Hazel Avenue Fair Oaks, CA 95628 (916) 961-2112 1070 David 0 Tb] 42/1 Chk 3905 Ju116'17 08:15PM 1 Mojito Pitcher Original w/ 18.00 2 Glass 1 Brussel Sprouts 6.50 1 Pepperfin 14.50 1 Spicy Drm 1 Red 14.50 1 Aerojet 14,95 1 Tommy EE) 2 Cou Toro 19.00 1 Daikon Hamachi 14.50 1 Garlic Salmon 14,00 Subtotal 133.90 Tax 10.38 Total Due 144.28"
receipt11.jpg,of@} 18 Past evo fy Pi itucket 4 us py gro g00916/ Facebook yelp /Trip Advisor Server: PH BAR P 06/09/19 4:28 py Che Table 2 k 14 Steak Tip Skevers Piatto Gorsonzola Root beer jubtotal aK Total staurant Ho ve festaurant Hours
receipt110.jpg,"0 Monge 280 4661 stanford Ranch Rd Rocklin, CA 95677 916-632-0028 Receipt: songo-042441 Date: Jan 28, 2010 5:48:07 PH Served by: Manager Tea Price qty Value x A tax 7.254: Total cash ‘rendered: ‘change"
receipt111.jpg,"$4.39 (FR, mild ) Fopcom Chicken (Spicy , mild ) [EPR $6.75 Eraisec Beef flee/Noodle [1] 9 24.8 Te Cold Noodle With Chicken (14 A $7.95 Beef Noodles $6.25 Amount: $25.34 Tax Rate:(9.00%): $2.28 Sub-Total: $27.62 TIP GUIDE----- 15% = $3.80 18% = $4.56 20% = $5.07"
receipt112.jpg,"Chelokababi 1236 S Wolfe Rd Sunnyvale, CA 94086 (408) 737-1222 chelokababi.com —————— Ticket: D2 j FOR HERE Koobideh x 7 $115.50 ($16.50 each) Well Done Very well done Nan-O-Sabzi $8.95 18% Gratuity yan{cS ) $22.40 a - Subtotal $146.85 Sales Tax $13.22 Total Thank you very much!"
receipt114.jpg,"COLUMBUS RESTAURANT 736 OCEAN DRIVE MIAMI BEACH, FL 33139 TEL: 786-275-6944 TABLE 94 S GUESTS — Gustavo 2 FBD BLUE NARGARI © 55.00 110.00! 4 CHEESE BURGER 44.50! 4 CHICKEN MARSALA 4.50 TAX and. SERUICE Detail TF ARTICLES Tax Total | SALES TAX 72 443.00 40.01 153.0 RESORT TAX2/ | SERUICE20/ TOTAL 184.47) SATURDAY 01-27-2048 03:59PM Key 12-Haitr: 12-POS"
receipt115.jpg,"_, Golden Panda Buffet 14428 Ramona Blvd. #70 Baldwin Park, CA 91706 Tel: 626-337-5666 Station: 1 6/02/2018 04:18:31 PM Cashier: 010 Invoice #68554 T# hot food Adult Dinner 2 23.98 Soda 2 3.38 eee Subtotal 21536 Tax 2.60 Grand Total 29.96 Amount Tendered 29.96 Debit Card sale 29.96 a Thank you very much. Order # 152"
receipt117.jpg,"Ros@bud on Rush 720 North Rush Street Chicago, Il 312-266-6444 Date: Wu | Woe 04:07PM Card Type: Visa AcCtaaa XXXXXXXKAXAX S426 Card Entry: SWIPED Trans Type: PURCHASE Trans Key: 61G005625257/29 Auth Code: 190275 Check: 1738 Table: 81/1 Server: 226 Chelsea Subtotal: 7 Sie. | Der TOTAL STGNA TURE THe 18 ROSEBUD'S COPY Thank You !"
