Filename,Content
order_10248.pdf,"Order ID: 10248 ‘Shipping Details: ‘Ship Name: Vins et alcools Chevalier ‘Ship Address: 59 rue de FAbbaye ‘Ship Cty: Reims ‘Ship Region: Western Europe ‘Ship Postal Code: 51100 ‘Ship Country: France Customer Details: (CustomerID: VINET (Customer Name: Vins et alcools Chevalier Employee Details: Employee Name: Steven Buchanan ‘Shipper Details: ‘Shipper 1D: 3 ‘Shipper Name: Federal Shipping Order Details: (Order Date: 2016-07-08 ‘Shipped Date: 2016-07-16 Products: Product Queso Cabrales Quantity: 12 Unit Price: 14.0, Total 168.0 Product Singaporean Hokkien Fried Mee Quantity: 10 Unit Price: 9.8 Total: 98.0 Product Mozzarella di Giovanni Quantity: 5 Unit Price: 34.8 Total 174.0 Total Price: Total Price: 440.0"
order_10249.pdf,"Order ID: 10249 ‘Shipping Details: ‘Ship Name: Toms Spezalitaten ‘Ship Address: Lusenst. 48 ‘Ship Cay: Monster ‘Ship Region: Western Europe ‘Ship Postal Code: 44087 ‘Ship Country: Germany Customer Details: (CustomerID: TOMSP. (Customer Name: Toms Spezialitaten Employee Details: Employee Name: Michael Suyama ‘Shipper Details: ‘Shipper 10:1 ‘Shipper Name: Speedy Express Order Details: Order Date: 2016-07-05, ‘Shipped Date: 2016-07-10 Products: Product Tots (Quantity: 9 Unit Price: 18.6 Total 1674 Product Manjimup Dried Apples ‘Quantity: 40 Unit Price: 42.4 Total 1696.0 Total Price: ‘otal Price: 1863.4"
order_10250.pdf,"Order ID: 10250 ‘Shipping Details: ‘Ship Name: Hanari Carnes ‘Ship Address: Rua do Pago, 67 ‘Ship Cy: Rio de Janeiro ‘Ship Region: South America ‘Ship Postal Code: 05454-876, ‘Ship Country: Brazil Customer Details: (Customer 1D: HANAR (Customer Name: Hanari Carnes Employee Details: Employee Name: Margaret Peacock ‘Shipper Details: ‘Shipper 10: 2 ‘Shipper Name: United Package Order Details: Order Date: 2016-07-08 ‘Shipped Date: 2016-07-12 Products: Product Jack's New England Clam Chowder ‘Quantity: 10 Unit Price: 7.7 Tota 77.0 Product Manjmup Dried Apples (Quantity: 35 Unit Price: 42.4 Total 1484.0 Product Louisiana Fiery Hot Pepper Sauce (Quantity: 15 Unit Price: 16.8, Total 252.0 Total Price: ‘otal Price: 1813.0"
order_10251.pdf,"Order ID: 10251 ‘Shipping Details: ‘Ship Name: Victuailes en stock ‘Ship Address: 2, rue du Commerce ‘Ship Cty: Lyon ‘Ship Region: Western Europe ‘Ship Postal Code: 69004 ‘Ship Country: France Customer Details: (CustomerID: VICTE (Customer Name: Vietuailes en stock Employee Details: Employee Name: Janet Levering ‘Shipper Details: ‘Shipper 10:1 ‘Shipper Name: Speedy Express Order Details: Order Date: 2016-07-08 ‘Shipped Date: 2016-07-15 Products: Product Gustaf Knackebrod (Quantity: 6 Unit Price: 168 ‘Total. 100.80000000000001 Product Raviol Angelo ‘Quantity: 15 Unit Price: 15.6, Tota 234.0 Product Louisiana Fiery Hot Pepper Sauce (Quantity: 20 Unit Price: 16.8 Total 336.0 Total Price: ‘Total Price: 670.8"
order_10252.pdf,"Order ID: 10252 ‘Shipping Details: ‘Ship Name: Suprémes déices ‘Ship Address: Boulevard Trou, 255 ‘Ship Cay: Charleroi ‘Ship Region: Western Europe ‘Ship Postal Code: 6-6000 ‘Ship County: Belgium Customer Details: (CustomerID: SUPRD {Customer Name: Suprémes dices Employee Details: Employee Name: Margaret Peacock ‘Shipper Details: ‘Shipper 10: 2 ‘Shipper Name: United Package Order Details: Order Date: 2016-07-09 ‘Shipped Date: 2016-07-11 Products: Product Sir Rodney's Marmalade ‘Quantity: 40 Unit Price: 64.8 Tota 2502.0 Product Getost (Quantity: 25 Unit Price: 2.0 Total 50.0 Product Camembert Pierrot (Quantity: 40 Unit Price: 27.2 Total 1088.0 Total Price: Total Price: 3730.0"
order_10253.pdf,"Order ID: 10253 ‘Shipping Details: ‘Ship Name: Hanari Carnes ‘Ship Address: Rua do Pago, 67 ‘Ship Cy: Rio de Janeiro ‘Ship Region: South America ‘Ship Postal Code: 05454-876, ‘Ship Country: Brazil Customer Details: (Customer 1D: HANAR (Customer Name: Hanari Carnes Employee Details: Employee Name: Janet Levering ‘Shipper Details: ‘Shipper 10: 2 ‘Shipper Name: United Package Order Details: Order Date: 2016-07-10 ‘Shipped Date: 2016-07-16 Products: Product: Gorgonzola Teno ‘Quantity: 20 Unit Price: 10.0 Tota 200.0 Product Chartreuse vere ‘Quanty: 42 Unit Price: 14.4 “Total 604 8000000000001 Product Manik (Quantity: 40 Unit Price: 16.0, Total 640.0 Total Price: “Total Price: 1444.2000000000002"
order_10254.pdf,Order ID: 10254 ‘Shipping Details: ‘Ship Name: Chop-suey Chinese ‘Ship Address: Haupt. 31 ‘Ship Gy: Bern ‘Ship Region: Western Europe ‘Ship Postal Code: 3012 ‘Ship Country: Switzerland Customer Details: ‘CustomerID: CHOPS (Customer Name: Chop-suey Chinese Employee Details: Employee Name: Steven Buchanan ‘Shipper Details: ‘Shipper 10: 2 ‘Shipper Name: United Package Order Details: Order Date: 2016-07-11 ‘Shipped Date: 2016-07-23 Products: Product Guarana Fantastica (Quantity: 15 Unit Price: 3.6 Total 54.0 Product Patéchinois ‘Quanity: 21 Unit Price: 19.2 Total 403.2 Product Longife Tofu ‘Quanity: 21 Unit Price: 8.0 Total 168.0 Total Price: ‘otal Price: 625.2
order_10255.pdf,"Order ID: 10255 ‘Shipping Details: ‘Ship Name: Richter Supermarkt ‘Ship Address: Starenweg 5 ‘Ship Cy: Genéve ‘Ship Region: Western Europe ‘Ship Postal Code: 1204 ‘Ship Country: Switzerland Customer Details: (Customer 1D: RICSU (Customer Name: Richter Supermarkt Employee Details: Employee Name: Anne Dodsworth ‘Shipper Details: ‘Shipper 1D: 3 ‘Shipper Name: Federal Shipping Order Details: Order Date: 2016-07-12 ‘Shipped Date: 2016-07-15 Products: Product: Chang ‘Quantity: 20 Unit Price: 15.2 Tota 304.0 Product Paviova Quantity: 35 Unit Price: 139 Total 486.5 Product ilagd Sit (Quantity: 25 Unit Price: 152 Tota 380.0 Product Raclette Courdavault ‘Quantity: 30 Unit Price: 44.0, Tota 1320.0 Total Price: Total Price: 2490.5"
order_10256.pdf,"Order ID: 10256 ‘Shipping Details: ‘Ship Name: Welington Importadora ‘Ship Address: Rua do Mercado, 12 ‘Ship Ciy: Resende ‘Ship Region: South America ‘Ship Postal Code: 08737-363, ‘Ship Country: Brazil, Customer Details: (CustomerID: WELLL {Customer Name: Wellington Importadora Employee Details: Employee Name: Janet Levering ‘Shipper Details: ‘Shipper 10: 2 ‘Shipper Name: United Package Order Details: Order Date: 2016-07-18 ‘Shipped Date: 2016-07-17 Products: Product Perth Pasties (Quantity: 15 Unit Price: 26.2 Tota 393.0 Product Orginal Frankurer grine Sotte (Quantity: 12 Unit Price: 10.4 ‘Tota. 124.80000000000001 Total Price: ‘Total Price: 517.8"
order_10257.pdf,Order ID: 10257 ‘Shipping Details: ‘Ship Name: HILARION-Abastos ‘Ship Address: Carrera 2 con Ave. Carlos Soublete #8-35 ‘Ship Gy: San Cristobal ‘Ship Region: South America ‘Ship Postal Code: 5022 ‘Ship Country: Venezuela Customer Details: (CustomerID: HILAA (Customer Name: HILARION-Abastos Employee Details: Employee Name: Margaret Peacock ‘Shipper Details: ‘Shipper 1D: 3 ‘Shipper Name: Federal Shipping Order Details: Order Date: 2016-07-16 ‘Shipped Date: 2016-07-22 Products: Product Schoggi Schokolade (Quantity: 25 Unit Price: 35.1 Total 877.5 Product Chartreuse vere (Quantity: 6 Unit Price: 14.4 Total 86.4 Product Orginal Frankurer grine Sotte Quantity: 15 Unit Price: 10.4 Total 156.0 Total Price: Total Price: 1119.9
